,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
1401,Yogurt Persa (Boyacá),$ • Saludable,,,"Boyaca, Guayaquil 090313, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/yogurt-persa-boyaca/iPjufrMARgCnA5bxs2GIgw
1402,Pataconería,$ • Salads,,,"Parque Lineal, Guayaquil 090615, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/pataconeria/80BDCKkKQZKhUENoKpD4bg
1403,Pataconería,$ • Salads,,,"Parque Lineal, Guayaquil 090615, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/pataconeria/80BDCKkKQZKhUENoKpD4bg
1404,Empanada de Santi - Entre Rios ,$$ • Latina,,,"Av. Samborondón, Samborondón 091650, Ecuador, 20, Guayas 091650 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/empanada-de-santi-entre-rios/jGlGsLq2To6jhBdqyqPSYg
1405,Empanada de Santi - Entre Rios ,$$ • Latina,,,"Av. Samborondón, Samborondón 091650, Ecuador, 20, Guayas 091650 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/empanada-de-santi-entre-rios/jGlGsLq2To6jhBdqyqPSYg
1406,Empanada de Santi - Entre Rios ,$$ • Latina,,,"Av. Samborondón, Samborondón 091650, Ecuador, 20, Guayas 091650 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/empanada-de-santi-entre-rios/jGlGsLq2To6jhBdqyqPSYg
1407,Chop Chops (Mall Del Sol),$$ • Latina,4.9,(58),"Joaquín José Orrantia González, Guayaquil 090513, Ecuador, C.C. MALL DEL SOL,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/chop-chops-mall-del-sol/VckvUHHwQEuRIBqL6pZMFQ
1408,Chop Chops (Mall Del Sol),$$ • Latina,4.9,(58),"Joaquín José Orrantia González, Guayaquil 090513, Ecuador, C.C. MALL DEL SOL,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/chop-chops-mall-del-sol/VckvUHHwQEuRIBqL6pZMFQ
1409,Chop Chops (Mall Del Sol),$$ • Latina,4.9,(58),"Joaquín José Orrantia González, Guayaquil 090513, Ecuador, C.C. MALL DEL SOL,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/chop-chops-mall-del-sol/VckvUHHwQEuRIBqL6pZMFQ
1410,Pyros Parrilla y Arroces,$$ • Latina,4.5,(11),"Avenida La Puntilla Km 1.5 Via, Samborondón, Guayas 092301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/pyros-parrilla-y-arroces/H45Ba2lTS_mz227a_IR4gw
1411,Pyros Parrilla y Arroces,$$ • Latina,4.5,(11),"Avenida La Puntilla Km 1.5 Via, Samborondón, Guayas 092301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/pyros-parrilla-y-arroces/H45Ba2lTS_mz227a_IR4gw
1412,Ups! Salad,$ • Salads,4.8,(16),"Av. Rodrigo Chavez 443, Guayaquil, Guayas 090510 Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/ups!-salad/ZkRKF5YJTpezQEN_u7wr1Q
1413,Ups! Salad,$ • Salads,4.8,(16),"Av. Rodrigo Chavez 443, Guayaquil, Guayas 090510 Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/ups!-salad/ZkRKF5YJTpezQEN_u7wr1Q
1414,Ups! Salad,$ • Salads,4.8,(16),"Av. Rodrigo Chavez 443, Guayaquil, Guayas 090510 Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/ups!-salad/ZkRKF5YJTpezQEN_u7wr1Q
1415,Ups! Salad,$ • Salads,4.8,(16),"Av. Rodrigo Chavez 443, Guayaquil, Guayas 090510 Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/ups!-salad/ZkRKF5YJTpezQEN_u7wr1Q
