,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
1042,Juan Maestro - Mall Plaza La Serena,$ • Sándwich,4.5,(22),"Alberto Solari 1400, Locales 229/233/237, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/juan-maestro-mall-plaza-la-serena/XEBnsHcaQNSIMUveDwhvLg
1043,Juan Maestro - Mall Puerta del Mar,$ • Sándwich,4.1,(53),"Avda. Francisco De Aguirre 05 Local Fc-05 La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/juan-maestro-mall-puerta-del-mar/RPo17B7AQim_PHdrIbah4g
1044,Doggis - Puerta del Mar,$ • Sándwich,,,"Avenida Francisco De Aguirre 5, Coquimbo, La Serena 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/doggis-puerta-del-mar/_uuV4E67SJWmv0quLKT9_Q
1045,Arepa Cuadrada,$ • Venezolana,4.5,(33),"Cuatro Esquinas 91, La Serena, Región De Coquimbo, Chile,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/arepa-cuadrada/yy0mAt-8R36NKhKP7yzylQ
1046,Arepa Cuadrada,$ • Venezolana,4.5,(33),"Cuatro Esquinas 91, La Serena, Región De Coquimbo, Chile,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/arepa-cuadrada/yy0mAt-8R36NKhKP7yzylQ
1047,Arepa Cuadrada,$ • Venezolana,4.5,(33),"Cuatro Esquinas 91, La Serena, Región De Coquimbo, Chile,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/arepa-cuadrada/yy0mAt-8R36NKhKP7yzylQ
1048,Donde el Vecino,$ • Sándwich,,,"Amunátegui 328, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/donde-el-vecino/Y5sDP-5ZTieEcYAQoKbOKQ
1049,La Morada Restaurant,$ • Chilena,,,"Regidor Muñoz 352, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/la-morada-restaurant/wJ9K2ZgHRnu7olezjyh4Bw
1050,Donde El Chocolo Sanguchería,$$ • Sándwich,4.9,(90),"Gabriel González Videla 2811, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/donde-el-chocolo-sangucheria/Xk7EZC6BQ1GEYk8gXKGQPw
1051,Lighthouse Centro,$ • Sándwich,,,"Matta 570, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/lighthouse-centro/-5CBXKSSR3WsOqMEiDbzGw
