,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
2058, Delivery Burger El Refugio,$$ • Burgers,,,"Cra. 77 #38-139, Medellín, Antioquia, Colombia, APTO 401,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/delivery-burger-el-refugio/JtsdK7GXS0uVPV-4inEUIg
2059,Al Alma Café (Laureles),$ • Desayuno y brunch,4.3,(11),"Av 74b # 39b 143, Medellin, Antioquia 050031 Colombia, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/al-alma-cafe-laureles/ZsnJksNxQm2YMY5r766Bjw
2060,MYMA Food,$$ • Colombiana,,,"Cl 32e # 78-34, Medellin, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/myma-food/vv2lOxlfQUqzUKSeyzIYyg
2061,Cafe Frutal,$$ • Café,4.4,(17),"Cra. 40 #52-29, Medellín, Antioquia, Colombia, Cr 40  52-29,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/cafe-frutal/EqWB8Ff5Q6SosFwDQ6tl3g
2062,Expopastel,$ • Panadería,4.4,(40),"Cl. 37 #51-10, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/expopastel/3eQcasw1TEKuIC1888PVZA
2063,La Esquina del Pandebono,$ • Panadería,,,"Cra. 76 #33a-7, Medellín, Antioquia 050031 • Más información",https://www.ubereats.com/co/medellin/food-delivery/la-esquina-del-pandebono/pVt32m4gRiSN7aRKK2qrMw
2064,Alpina (Medellin)🛒,$$ • Cafetería • Conveniencia,,,"Cra. 48 #17-49, Medellín, Antioquia, Colombia, Av. Los Industriales , Antioquia 050021 • Más información",https://www.ubereats.com/co/medellin/food-delivery/alpina-medellin/cO8arHA9TLe4SHJRQ7WgMw
2065,Listo El Pollo,$$ • Pollo,4.4,(78),"Cl. 43, Cl. 43 #77-86,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/listo-el-pollo/OB1cKnUYT_Kjgtn6p1r3pA
2066,FIREHOUSE (Laureles),$ • Burgers,4.8,(100),"Cl. 40 ## 74b - 35, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/firehouse-laureles/J8b58SM0SPG_xAV6rtHTrg
2067,FIREHOUSE (Ciudad del Río),$ • Burgers,4.5,(39),"Medellín, Medellin, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/firehouse-ciudad-del-rio/Kj54WbMLQ4iL3pKW1UPV-Q
2068,Dirty Chicken,$$ • Alitas,4.6,(13),"Cra. 43b #9 - 07, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/dirty-chicken/JZiSnyMaRHuu8a5xnXkjTQ
2069,Jackwings,$ • Colombiana,4.2,(12),"Cll 11a #43d 14 Barrio Poblado Manila, Medellín, Antioquia 050021126 Colombia, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/jackwings/mWH3Bvo5T0-y8CvRW70x3Q
2070,La Caldera,Colombiana,3.5,(23),"Cl. 43, Calle 43 # 70a-15,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/la-caldera/8aFsW0v0Qia7awSyLN_NSg
2071,Go Wings (Poblado),$$ • Americana,,,"Cl. 16 #59-12, Medellín, Antioquia, Colombia, Calle 16 # 59-12,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/go-wings-poblado/etj50Ya3RraMpW0mzThNEQ
2072,KFC (Calle 10),$ • Pollo • Comida rápida,4.5,(200+),"Cl. 10, Medellín, Antioquia 050021 • Más información",https://www.ubereats.com/co/medellin/food-delivery/kfc-calle-10/sqmSJTD0ReOQNjzVX2XemA
2073,KFC (Laureles),$ • Pollo • Comida rápida,4.5,(200+),"Cl. 39d ##73-86, Medellín, Antioquia 050031 • Más información",https://www.ubereats.com/co/medellin/food-delivery/kfc-laureles/QPBWzl_4Qu2NroWSlHtO2w
2074,KFC (Arkadia),$ • Pollo,4.1,(40),"Cra. 70 #1-141, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/kfc-arkadia/B2q9GCIvRgaYE36FLz2RFg
2075,KFC Premium Plaza,$ • Pollo • Comida rápida,4.5,(10),"Carrera 43 # 30-25 Local 2284, Cc Premium Plaza, Medellin,   Colombia, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/kfc-premium-plaza/l0JsWe1qQ_-RMFcg55-BZQ
2076,KokoroCrunch,$ • Pollo • Colombiana,,,"Diagonal 75b # 2a - 120 Local 105 Rotonda Comercial Plazoleta Las Américas, Medellín, Antioquia 050025 Colombia, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/kokorocrunch/wszPCGafT6GS8J6VKKBbTg
2077,Cocorollo,$ • Colombiana,4.8,(200+),"Carrera 43f #12-21, Medellín, Antioquia, Colombia, Al Lado De Bodytech Manila,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/cocorollo/qRb9ATAtQWuZgWA3juK6Vg
2078,El Rancherito (Mercado del Rio),$$ • Colombiana,4.6,(65),"Cl. 24 #48-28, Medellín, Antioquia, Colombia, Antioquia 050021 • Más información",https://www.ubereats.com/co/medellin/food-delivery/el-rancherito-mercado-del-rio/pAPfl87vRRivM7Bja67IBQ
2079,Brasa Roja (Monterrey),$ • Colombiana,4.6,(53),"Cra. 48 ##10 45, Medellín, Antioquia, Colombia, #Local 10,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/brasa-roja-monterrey/EaZ_bO-dTJuhp0DFRGrM2Q
2080,El Rancherito (Molinos),$$ • Colombiana,4.5,(51),"Cl. 30a #82a-26, Medellín, Antioquia, Colombia, Antioquia 050026 • Más información",https://www.ubereats.com/co/medellin/food-delivery/el-rancherito-molinos/dKtCMbbnQ--uWPOd0a776A
2081,Parmessano (Laureles),$ • Italiana,4.5,(35),"Circular 75#38-69, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/parmessano-laureles/ShQaeJEPRSChWeKEhfSH_w
2082,Parmessano (Palmas),$$ • Italiana,4.4,(44),"Av. Las Palmas #35-69, Medellín, Antioquia, Colombia, 205, Antioquia 050021 • Más información",https://www.ubereats.com/co/medellin/food-delivery/parmessano-palmas/8v4gMONXQUSKdBOY8Vqf0Q
2083,Brasa Roja (Laureles),$ • Colombiana,4.7,(62),"Cq. 75 ##39b - 41, Medellín, Antioquia, 050031, Medellin, 110121 • Más información",https://www.ubereats.com/co/medellin/food-delivery/brasa-roja-laureles/v-MYg1XsTiCI0vv3NWDa4A
2084,Brasa Roja (San Diego),$ • Colombiana,4.4,(37),"Cl. 34 ##43-66, Medellín, Antioquia, Colombia, Local 2372,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/brasa-roja-san-diego/1dF6o3Z_Sra_Jxcsf898oQ
2085,Típicos de Colombia,$$ • Colombiana,4.3,(24),"Cra. 65g #17-23, Medellín, Antioquia, Colombia, Carrera 65G #, 17-23, Medellin, Antioquia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/tipicos-de-colombia/zUM2YaBYS3yTPHDLT7R_tQ
2086,Parmessano (Los Molinos),$$ • Italiana,,,"Calle 30a #82a-26, Medellín, Antioquia, Colombia, 3184,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/parmessano-los-molinos/h4jy2708TuWiqCg3g22h9w
2087,Rigo's Pollo Arabe,$ • Pollo,4.7,(39),"Cl. 43 #40-3, Local,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/rigos-pollo-arabe/yHfVZ86tQZutqcK6eDA3eg
2088,Planeta Wings (Laureles),$$ • Alitas,4.6,(64),"Av. 74b ## 39 B 69, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/planeta-wings-laureles/T2J0h4ZoS-KHDngkvxlWwQ
2089,Criollo,$$ • Colombiana,,,"Cra. 74 #39d-16, Medellín, Antioquia 050031 • Más información",https://www.ubereats.com/co/medellin/food-delivery/criollo/YSCDaKLUT5elPiVDaNzo9A
2090,IL Forno (Gran Via),$$ • Italiana,4.6,(75),"Mall Comercial Gran Via, Dg. 75b #6-105, Medellín, Antioquia • Más información",https://www.ubereats.com/co/medellin/food-delivery/il-forno-gran-via/HKf0tX9tQ3uKNub-gWYW1w
2091,PASTAS Y CARNES,$ • Italiana,,,"43-31 Carrera 70, Medellín,  050031 Colombia, Medellin, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/pastas-y-carnes/nT-F2U7LQ3W3NtPm5xfuGA
2092,Pane e Pomodoro (Manila),$$ • Italiana,4.7,(122),"Carrera 43b #11-92, Medellin, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/pane-e-pomodoro-manila/sF9V-IdBQXaYBxIThvkoYA
2093,Pane e Pomodoro (Laureles),$$ • Italiana,4.4,(122),"Carrera 73 # 5-06, Medellin, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/pane-e-pomodoro-laureles/Za-MtY5yTFqSzh-Ict8-kA
2094,Archies (San Fernando Medellin),$$ • Italiana • Saludable,4.7,(87),"Av. El Poblado #1-50, Medellín, Antioquia, Colombia, Local 372, Antioquia 050022 • Más información",https://www.ubereats.com/co/medellin/food-delivery/archies-san-fernando-medellin/_MVhmy9uThegJdGaqKxO5Q
2095,Pizza Shop,$ • Pizza,4.7,(40),"Cl. 54 #40-45, Medellín, Antioquia 050012 • Más información",https://www.ubereats.com/co/medellin/food-delivery/pizza-shop/F57KpQiCQeGXrF_qrGa_zw
2096,Urban Pizzería (Laureles),$ • Pizza • Americana • Italiana • Pasta,4.4,(62),"39b122 Circular 75, Medellín,  050031 Colombia, Medellin, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/urban-pizzeria-laureles/ovwCgGT6TKq14JlKenjZIQ
2097,IL CARRETTO TRATTORIA PIZZERIA,$ • Italiana,,,"#5-46 Carrera 45, Medellín,  050022 Colombia, Medellin, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/il-carretto-trattoria-pizzeria/jK9uZg_DRRqb7CpkMcVDRQ
2098,We Pizza,$ • Italiana,4,(19),"Av. 74b #39b-95, Medellín, Antioquia, Colombia, Antioquia 050031 • Más información",https://www.ubereats.com/co/medellin/food-delivery/we-pizza/TVHYf0jFRxu8LFnyd7mCoQ
2099,Vernazza,$$ • Pasta,,,"Cl. 3 Sur #50e-12, Medellín, Antioquia, Colombia, Calle 3 Sur # 50e 20,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/vernazza/PN3plxG7RU6QTheHAasYDw
2100,Montolivo (Viva Laureles),$ • Italiana,4.7,(200+),"Viva Laureles, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/montolivo-viva-laureles/xZBQwAbtQq-gAsRlpe54aA
2101,Montolivo (De Moda),$ • Italiana,4.6,(200+),"Calle 16 #55-129, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/montolivo-de-moda/eJfv8NVjQBmmygqCMdZ3LQ
2102,Montolivo (Premium Plaza),$ • Italiana,4.6,(200+),"Cra 43a #30-25, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/montolivo-premium-plaza/L77LfyerQVqszIuqX-ybbQ
2103,Pimiento's Pizza Laureles,$ • Pizza,4.7,(200+),"Tv. 39b #70-181, Medellín, Antioquia 050031 • Más información",https://www.ubereats.com/co/medellin/food-delivery/pimientos-pizza-laureles/1Gol9AJqRr-F2vQg9iSo7A
2104,Real Pasta,$ • Italiana,,,"Cra. 46 ##47 - 66, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/real-pasta/Jy9jcDvjShad67AsCGcKMA
2105,SAN GENARO TRATTORIA,$ • Italiana • Opciones para alérgicos,,,"32b4 Carrera 66c, Medellín,  050030 Colombia, Medellin, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/san-genaro-trattoria/vGAo6_t1TLKWGrpePpdQxg
2106,PURO GUSTO TRATTORIA (LAURELES),$ • Italiana,,,"Cl. 48c #65a-50, Medellín, Antioquia, Colombia, Antioquia 050034 • Más información",https://www.ubereats.com/co/medellin/food-delivery/puro-gusto-trattoria-laureles/273dNFVxTLueJFnbkNd6Bw
2107,El Farolito,$ • Italiana,,,"Circular 1 # 70 36, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/el-farolito/TxjmCD2OQ7K0BykpPGg6rQ
2108,Pa&zza,$$ • Pizza,,,"Cra. 76 & Cl. 31a,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/pa%26zza/MxeadglOTHiT6mm1ru0u6Q
2109,Pizza a la leña (Poblado),$ • Italiana,,,"Cra 43a #7d-44, Medellín, Antioquia, Colombia, Medellin Antioquia, Antioquia 050022 • Más información",https://www.ubereats.com/co/medellin/food-delivery/pizza-a-la-lena-poblado/guFzv-dWSbqRSLC4WbsMKw
2110,Portobello,$ • Italiana,,,"Calle 48 #66-10, Medellín, Antioquia 050034 Colombia, Medellin, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/portobello/j53NPporQOOtqIySnYCqsQ
2111,Real Past,$ • Italiana,,,"Dg. 75b #2a-83, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/real-past/AFbEM7VFTDWMBNTZ1kwNFw
2112,Viva Italia,$$ • Italiana,,,"Cra. 74 #39d-16, Medellín, Antioquia, Colombia, Loc 8, Antioquia 050031 • Más información",https://www.ubereats.com/co/medellin/food-delivery/viva-italia/ypPsULSOSTazBCP8oUe4Mg
2113,Mezzaluna (Laureles),$$ • Saludable,4.6,(200+),"Av. 74b #39b-91, Medellín, Antioquia 050031 • Más información",https://www.ubereats.com/co/medellin/food-delivery/mezzaluna-laureles/iYm7a0TWRHm-jxlsDoy_SA
2114,Ventolini (Poblado),$$ • Italiana • Sopas e Caldos • Helado y yogur helado • Ensaladas • Sándwich • Postres,4.8,(12),"Cra 43a #25a-34,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/ventolini-poblado/CR3sLoBtSXGYmRA8_TQRHA
2115,MYMA Food,$$ • Colombiana,,,"Cl 32e # 78-34, Medellin, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/myma-food/vv2lOxlfQUqzUKSeyzIYyg
2116,IL Forno (Los Colores),$$ • Italiana,4.9,(59),"Cl. 53, Medellín, Antioquia, Colombia, Los Colores Calle 53 #72 44 Local 106 Medellin, Antioquia Colombia, Antioquia 050034 • Más información",https://www.ubereats.com/co/medellin/food-delivery/il-forno-los-colores/EBKxf7Q3TwiSEAblkmTR0Q
2117,Pane E Pomodoro Express,$$ • Italiana,4.1,(19),"Diagonal 75 Ba # 1-26 Sector Club, Medellín, El Rodeo, Medellín, Antioquia, Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/pane-e-pomodoro-express/3y-ARsbcT2Ong75u5xvGVw
