,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
637,8/25 Chia,$ • Burgers,,,"Cra. 2 #24-37, Chía, Cundinamarca, Colombia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/8-25-chia/LSGltQO_RcKvlMGUKQNw2Q
638,Porcus Maestros Del Cerdo,$ • BBQ,,,"Av Pradilla # 7 - 98 Local 222 Cc Plaza Madero, Chia, Cundinamarca 110211 Colombia, Bogota, Cundinamarca 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/porcus-maestros-del-cerdo/w-smK3_TRDOpRLrqLY-Vvw
639,D´Panas Food Truck (Chia),$ • Latina fusión,,,"Av. Pradilla #3-40, Chía, Cundinamarca, Colombia, Centro Comercial Los Aleros Local 114-115, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/d-panas-food-truck-chia/yceno9acQjCEM_W102Js7g
640,D´Panas Food Truck (Chia),$ • Latina fusión,,,"Av. Pradilla #3-40, Chía, Cundinamarca, Colombia, Centro Comercial Los Aleros Local 114-115, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/d-panas-food-truck-chia/yceno9acQjCEM_W102Js7g
641,D´Panas Food Truck (Chia),$ • Latina fusión,,,"Av. Pradilla #3-40, Chía, Cundinamarca, Colombia, Centro Comercial Los Aleros Local 114-115, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/d-panas-food-truck-chia/yceno9acQjCEM_W102Js7g
642,D´Panas Food Truck (Chia),$ • Latina fusión,,,"Av. Pradilla #3-40, Chía, Cundinamarca, Colombia, Centro Comercial Los Aleros Local 114-115, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/d-panas-food-truck-chia/yceno9acQjCEM_W102Js7g
643,D´Panas Food Truck (Chia),$ • Latina fusión,,,"Av. Pradilla #3-40, Chía, Cundinamarca, Colombia, Centro Comercial Los Aleros Local 114-115, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/d-panas-food-truck-chia/yceno9acQjCEM_W102Js7g
644,D´Panas Food Truck (Chia),$ • Latina fusión,,,"Av. Pradilla #3-40, Chía, Cundinamarca, Colombia, Centro Comercial Los Aleros Local 114-115, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/d-panas-food-truck-chia/yceno9acQjCEM_W102Js7g
645,D´Panas Food Truck (Chia),$ • Latina fusión,,,"Av. Pradilla #3-40, Chía, Cundinamarca, Colombia, Centro Comercial Los Aleros Local 114-115, Cundinamarca 250002 • Más información",https://www.ubereats.com/co/bogota/food-delivery/d-panas-food-truck-chia/yceno9acQjCEM_W102Js7g
646,Deja Vu´s Restaurante Café Bar,$ • Latina,,,"Cl. 12  #11-09, Chía, Cundinamarca 250001 Colombia, Bogota, Cundinamarca 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/deja-vu-s-restaurante-cafe-bar/Pnh6ysgiSX66MUrE6NaupA
647,Deja Vu´s Restaurante Café Bar,$ • Latina,,,"Cl. 12  #11-09, Chía, Cundinamarca 250001 Colombia, Bogota, Cundinamarca 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/deja-vu-s-restaurante-cafe-bar/Pnh6ysgiSX66MUrE6NaupA
648,Florinda,$ • Mexicana,,,"Cra 1c # 12 39, Local 9 (Centro Comercial Andes Plaza), Chía, Cundinamarca 250001 Colombia, Bogota, Cundinamarca 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/florinda/ajUnMGGaRdCbevF7h_2RhA
